id	first_name	last_name	contributions	total_contributions
1	A.	Aaheim	[2.3.2.424.75.x1]	1
2	M.	Abbott	[2.1.4.180.113.x1|3.1.4.180.113.x1]	2
3	H.	Abdel Nour	[1.1.2.1388.99.x1]	1
4	Mohamed	Abdrabo	[5.2.2.286.30.x1]	1
5	Amjad	Abdulla	[5.2.3.287.61.x1]	1
6	Ayako	Abe-Ouchi	[3.1.4.148.51.x1|5.1.2.148.51.x1]	2
7	Tarekegn	Abeku	[4.2.2.358.117.x1|4.2.4.358.117.x1]	2
9	J.	Aber	[1.1.2.1050.113.x1]	1
10	Achala Chandani	Abeysekara	[5.2.2.288.98.x1]	1
11	Babatunde	Abiodun	[5.1.2.149.95.x1]	1
12	I.	Abrol	[1.3.1.1.44.x1]	1
13	L.P.	Abrol	[2.2.4.1266.44.x1]	1
14	Pamela	Abuodha	[4.2.4.757.6.x1]	1
15	A.N.	Achanta	[2.3.2.915.44.x1]	1
16	Frédéric	Achard	[4.3.4.679.49.x1]	1
17	Krishna Mirle	Achutarao	[3.1.4.201.113.x1|4.1.4.201.113.x1|5.1.2.150.44.x1|5.1.4.150.44.x1]	4
18	A.	Ackerman	[3.3.4.124.113.x1]	1
19	F.	Ackerman	[3.1.4.962.113.x1]	1
20	B.	Acock	[1.2.4.1.113.x1]	1
21	Roberto	Acosta Moreno	[2.2.1.1.26.x1|2.2.2.1.26.x1]	2
22	P.	Adams	[3.1.4.1000.113.x1]	1
23	Akintayo John	Adedoyin	[5.1.2.151.15.x1]	1
24	Anthony O.	Adegbulugbe	[3.3.2.758.74.x1|4.3.2.899.74.x1]	2
25	James O.	Adejuwon	[3.2.2.758.74.x1]	1
26	Francis	Adesina	[4.2.4.758.74.x1]	1
27	Neil	Adger	[2.2.4.231.117.x1|3.2.2.231.117.x1|3.2.4.231.117.x1|4.2.1.231.117.x1|4.2.2.231.117.x2|5.2.1.131.117.x1]	7
28	Sharad P.	Adhikary	[2.2.2.1084.72.x2|3.2.2.1084.72.x1]	3
